dataset,model,train_accuracy,val_accuracy,test_accuracy,weighted_precision,weighted_recall,weighted_f1,train_loss,val_loss,test_loss
CIFAR-10,custom_cnn,0.8241555555555555,0.7642,0.7681,0.7675044134924928,0.7681,0.7663923326582216,0.5138492475668589,0.661621516418457,0.6681784489631653
CIFAR-10,lenet,0.6588888888888889,0.5742,0.5712,0.5791579277763318,0.5712,0.5722874695599226,0.9748119427575005,1.206645499229431,1.2020897773742676
CIFAR-10,mlp,0.6300888888888889,0.5366,0.5324,0.5329342463629534,0.5324,0.5303502920194691,1.0611786244922214,1.3309777925491333,1.3308435693740845
CIFAR-10,simple_cnn,0.8734444444444445,0.736,0.7261,0.7246914004617317,0.7261,0.7240224344913375,0.3930386875841353,0.792291584777832,0.8159316155433655
Fashion-MNIST,custom_cnn,0.9628333333333333,0.9365,0.9305,0.9299306631505122,0.9305,0.9299328378453829,0.10420592071833434,0.17465322965383528,0.193132785820961
Fashion-MNIST,lenet,0.9045740740740741,0.8906666666666667,0.8799,0.8792791522975102,0.8799,0.8792928965718189,0.2583329759262226,0.3051982408364614,0.32220858793258667
Fashion-MNIST,mlp,0.9092592592592592,0.8856666666666667,0.8814,0.8811163975201591,0.8814,0.8809403039562985,0.24703782120898918,0.31130446298917136,0.3326525285243988
Fashion-MNIST,simple_cnn,0.9400740740740741,0.9176666666666666,0.9135,0.913609972246105,0.9135,0.9127598158497378,0.16384430068069034,0.2248474432428678,0.24095732901096345
