epoch,train_loss,train_accuracy,val_loss,val_accuracy
1,1.759671951505873,0.377,1.5777305130004884,0.4438
2,1.574290449163649,0.4464,1.5187820093154907,0.4714
3,1.49988802962833,0.4710888888888889,1.452207887840271,0.4884
4,1.4428775962617661,0.4892222222222222,1.4318871744155883,0.4948
5,1.3904985614140828,0.5076444444444445,1.409119158744812,0.4974
6,1.3566122333526611,0.5199555555555555,1.3743428855895996,0.5228
7,1.322712901687622,0.5327111111111111,1.3630248620986938,0.522
8,1.2894376944435968,0.5428888888888889,1.358540072441101,0.5196
9,1.2636727988349066,0.5529111111111111,1.3498777309417724,0.5272
10,1.2374091659545898,0.5603333333333333,1.3309777925491333,0.5366
