epoch,train_loss,train_accuracy,val_loss,val_accuracy
1,1.5597347104814316,0.4368888888888889,1.243659614753723,0.5562
2,1.1819899490144519,0.5799111111111112,1.0413182229995728,0.6328
3,1.0305438992500304,0.6361555555555556,0.9411869672775268,0.6682
4,0.9216179338667128,0.6729777777777778,0.9347699317932129,0.6722
5,0.8508417625745137,0.6995777777777777,0.8568481782913208,0.6982
6,0.7862068670696682,0.7241111111111111,0.8342217846870422,0.7054
7,0.7270603143586053,0.7426222222222222,0.8198055503845215,0.7134
8,0.6614146448241339,0.7650222222222223,0.7910752082824707,0.7246
9,0.6209379394955106,0.7803333333333333,0.797248194026947,0.7248
10,0.5642387907558017,0.801,0.792291584777832,0.736
