epoch,train_loss,train_accuracy,val_loss,val_accuracy
1,0.7968924323011327,0.7233888888888889,0.5406276098887126,0.7941666666666667
2,0.4689613363654525,0.8294074074074074,0.44850776171684265,0.8343333333333334
3,0.4022439640009845,0.853925925925926,0.39208794379234313,0.8555
4,0.3624622677432166,0.8672777777777778,0.37062722341219584,0.8678333333333333
5,0.3359601218258893,0.8772407407407408,0.34517802262306213,0.8781666666666667
6,0.3185707423775284,0.8830740740740741,0.3387640759944916,0.8805
7,0.3034673561917411,0.8881481481481481,0.33512575666109723,0.8805
8,0.2914580308684596,0.8927037037037037,0.3201348017851512,0.8855
9,0.2768608966580144,0.8966851851851851,0.3051982408364614,0.8906666666666667
10,0.26416731407907273,0.9023333333333333,0.31188449092706044,0.8886666666666667
