epoch,train_loss,train_accuracy,val_loss,val_accuracy
1,0.48927089952097996,0.8212777777777778,0.30633823573589325,0.8851666666666667
2,0.30640556274520026,0.8890185185185185,0.25832031671206157,0.9026666666666666
3,0.26273135942441445,0.904425925925926,0.23054772055149078,0.9165
4,0.23782901831026432,0.9133703703703704,0.2317653297185898,0.9175
5,0.2196451075827634,0.9194444444444444,0.20409190380573272,0.923
6,0.20437374792275606,0.9258703703703703,0.19321769652764004,0.9255
7,0.18945869333655746,0.9301111111111111,0.18796740525960923,0.9305
8,0.17704325530705628,0.9350925925925926,0.18819797446330389,0.9313333333333333
9,0.16570727544802208,0.9391481481481482,0.18258394753932952,0.9331666666666667
10,0.1563228996815505,0.9414444444444444,0.17465322965383528,0.9365
