epoch,train_loss,train_accuracy,val_loss,val_accuracy
1,0.6399147077842995,0.7699074074074074,0.4449946451981862,0.8406666666666667
2,0.4294949624626725,0.8438148148148148,0.40113662989934284,0.8481666666666666
3,0.3866190045144823,0.8596481481481482,0.37430902564525603,0.863
4,0.3608368929492103,0.8685185185185185,0.3628641012509664,0.8698333333333333
5,0.3437096212616673,0.8750185185185185,0.3514035826921463,0.871
6,0.3283486510117849,0.8793888888888889,0.3457840359210968,0.876
7,0.31436334436911123,0.884425925925926,0.32105084832509356,0.8808333333333334
8,0.3039403865425675,0.8877037037037037,0.32601950188477835,0.8813333333333333
9,0.29318817039772316,0.8929074074074074,0.31970823991298675,0.883
10,0.28411173396640355,0.8953518518518518,0.31130446298917136,0.8856666666666667
