epoch,train_loss,train_accuracy,val_loss,val_accuracy
1,0.63132944088512,0.7733888888888889,0.39025744239489235,0.8621666666666666
2,0.38591579057552194,0.8610925925925926,0.3311084100008011,0.8821666666666667
3,0.3344140253243623,0.8796851851851852,0.31591145777702334,0.886
4,0.300994149795285,0.8916666666666667,0.28130210916201276,0.8971666666666667
5,0.2774579277568393,0.8993518518518518,0.2631342423756917,0.9045
6,0.2565468585844393,0.9065925925925926,0.24996506245930988,0.9083333333333333
7,0.24251867877112496,0.9106851851851852,0.25310720698038736,0.9085
8,0.2243381400814763,0.9183888888888889,0.23702498100201289,0.912
9,0.21613535408178966,0.922074074074074,0.23270686642328897,0.9153333333333333
10,0.20381603168999707,0.9255,0.2248474432428678,0.9176666666666666
